design/resource,"default_1,1,1","default_1,8,1","default_1,32,1","default_1,128,1","default_1,-1,1","default_8,1,1","default_8,8,1","default_8,32,1","default_8,128,1","default_8,-1,1","default_32,1,1","default_32,8,1","default_32,32,1","default_32,128,1","default_32,-1,1","default_128,1,1","default_128,8,1","default_128,32,1","default_128,128,1","default_128,-1,1","default_-1,1,1","default_-1,8,1","default_-1,32,1","default_-1,128,1","default_-1,-1,1"
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_registers,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004,3002,2128,2034,2010,2004
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_carry8,2000,2000,2000,2000,2000,252,252,252,252,252,64,64,64,64,64,16,16,16,16,16,4,4,4,4,4
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_lut,49941,37956,35744,36570,42244,54359,48677,35105,31510,39302,71560,36119,32837,29624,30397,58904,34779,25255,27271,35473,31842,27250,25771,27553,27829
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_cell_lut1,-1,-1,-1,-1,1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,3,-1,-1,-1,-1,-1,-1,-1,-1,-1
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_cell_lut2,10808,15312,15436,16264,17533,10326,7601,1973,1789,17819,4851,739,907,718,924,17628,950,771,633,902,398,491,396,3423,830
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_cell_lut3,8031,15912,16485,17728,16616,778,1543,1585,2270,1554,1567,1068,1117,832,1165,1466,1018,1241,1373,1355,1664,644,741,515,777
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_cell_lut4,14906,5165,3214,2255,4672,8461,5442,6054,8486,7419,9396,5600,9667,2926,3099,2844,5051,1677,2240,2031,1007,1165,2313,802,1118
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_cell_lut5,15959,4945,4224,3872,5953,6986,6552,5951,4939,4620,15292,6152,4717,4709,4520,13053,7100,4221,4133,6600,4888,5724,4713,3676,4939
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_cell_lut6,19487,13141,12834,12880,16555,34529,32638,22383,18822,18272,46836,25292,20317,21236,21515,33261,22506,19020,19537,25318,25308,20177,19012,21035,20517
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_cell_fdre,49532,35201,33668,33267,33111,49576,35162,33616,33211,33129,49541,35147,33682,33293,33203,49608,35154,33616,33261,33072,49562,35190,33632,33150,33179
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_muxes,6499,5998,5998,5998,5999,5498,5061,5001,4998,4999,5498,5061,5014,4998,4999,5498,5061,5014,5002,4999,5498,5061,5014,5002,5000
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_clb,101579,75165,71412,71838,77447,104233,84154,69017,64974,72683,121221,71381,66590,62981,63664,108595,69995,58909,60552,68680,81408,62475,59424,60765,61012
synthetic-results_one-fsm-32_resource_numbers_synthetic_one-fsm-32_futil_json_worst_slack,-16.825,-9.889,0.406,-4.263,2.103,-2.058,-0.086,0.225,1.665,-1.783,0.002,0.251,-7.42,-3.134,-4.524,-1.558,0.094,2.055,0.046,-14.651,0.185,2.004,1.79,-4.821,-2.016
